"CO","tin_oxide","Benzene","Titan","NOx","Tungsten.oxide","NO2","Tungsten","Indium.oxide","Temperature","Relative.Humidity","Absolute.Humidity"
7.4,1017.6,38.1,880.3,455.9,1176.2,230.9,1082.1,1375.3,2.6,76.6,2.3
6.9,1315,43.2,1081,388.3,799.3,255.7,1436.1,1711.2,10.5,59,2.8
5.5,1063.5,34.5,742.6,292.5,1193.7,165.6,1355.6,1175.2,7.9,83.4,3.2
5.1,843.4,30.9,637.3,228.7,1362.2,163.1,1431.5,1244,13.8,70.8,3.5
5.2,994.9,36.8,909.8,291.5,805.9,146,1380.3,1493.2,13.7,75.9,3.7
4.2,705.8,27.5,473.3,139,1420.7,136,1062.9,829.7,7.7,64.7,2.9
5.2,1032.9,32.6,717.5,277.6,1182.2,163.8,1177.8,1510,7.5,71,2.9
6.9,1080.6,44.2,1144.7,349.9,686.2,183.6,1479.2,1616,12.9,54.9,3
6.9,1158.4,42.4,1036,378.4,798.8,210.6,1291.1,1566.3,5.5,80.1,2.8
7.5,1304.7,50.9,1311.3,340.2,829,211.1,2288.7,1995.9,13.4,76.7,3.7
7.3,1358.3,44.8,1113.3,366.5,809.3,223.3,1388.7,1721.4,6.4,76.4,2.6
6.7,1136.3,38.9,946.6,355.8,825.9,187.8,1467.8,1562.2,12.3,68.6,3.5
10.4,1654.7,60.6,1659.7,534.8,582.8,307.9,2234.4,2542.6,16.2,38.8,2.9
9.4,1749.9,55.5,1453.9,524.8,630,266.3,1774.2,2478.8,4,90.8,3
9,1418,54.9,1526.6,497.8,579.1,232.1,2109.7,2337,14.2,60.3,3.3
6.7,1108.9,42.7,1018.9,427.9,1075.5,190.9,1444.1,1672.5,6.4,69.9,2.8
6,1150.4,37.1,914.5,379.3,881.5,228.4,1260.4,1752,8.8,68.1,2.7
3.9,684.9,29.5,503.4,232.9,1207.8,101.2,746.1,699,7.7,70.7,3
7.4,1454,47.7,1225.3,363.4,834.4,181,2246.6,1855.9,16.2,74.2,3.7
6.5,1210.7,40.8,1038.3,359.6,920.4,203,1635.8,1482.5,13,61.8,3.2
6.9,1187.4,45.2,1151,337,1045,202.6,1888.2,1694.5,11.6,80,3.2
7.3,1401.1,49.3,1254.8,400,1067.5,184.2,2001.1,1930.4,8.9,74.9,3.2
8.6,1427.9,51.5,1343.2,461.2,675.6,162.3,2033.1,2244.2,4,117.4,3.5
7.1,1059.9,40.7,961.5,461,912.9,200.9,1259.3,1631.3,9.2,73.4,3.3
5.7,924.4,36.8,922.6,263.5,1145.6,183,1506.8,1131.8,13.1,59.8,3.3
8,1290,46.9,1203.4,440.5,633.1,265.2,1587,1958.5,10,52.8,2.9
7.7,1404.4,49.4,1280.2,428.5,810.8,245,1699.1,1802.8,11.5,46.9,2.8
