"acousticness","danceability","duration_ms","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence"
0.46,1.42,308.25,0.87,0.04,0.13,-7.11,0.12,159.19,0.42
0.07,1.73,150.9,0.21,0.07,-0.02,-5.37,0.12,95.11,0.92
0.19,1.5,269.87,0.95,0.05,0.5,-4.85,0.03,94.68,0.4
0.09,1.5,263.53,0.49,0.15,0.38,-5.68,0.01,130.3,0.33
0.41,1.62,272.39,0.72,0.01,0.37,-4.56,0.08,89.22,0.85
0.01,1.58,334.79,0.3,0.16,0.33,-11.02,0.16,109.27,0.09
0.13,1.61,179.11,0.31,0.25,0.28,-7.29,0.07,150.68,0.77
0.1,1.78,384.46,0.54,0.06,0.1,-9,0.03,113.58,0.57
0.24,1.34,304.21,0.35,0.1,0.24,-6.01,0.03,131.32,0.28
0.5,1.47,285.36,0.52,0.06,0.1,-8.33,0.1,153.64,0.84
0.13,1.5,341.75,0.98,0.78,0.25,-9.97,0.07,132.35,0.11
0.31,1.48,243.96,0.77,0.05,0.13,-5.73,0.07,105.11,0.34
0.03,1.7,328.46,0.33,0.33,0.3,-5.13,0,123.45,0.98
0.39,1.42,291.61,0.96,0.01,0.32,-4.14,0.15,133.09,0.37
0.21,1.62,324.87,0.92,0.1,0.14,-3.37,0.04,155.23,0.21
0.09,1.5,249.14,0.6,0.1,0.14,-11.9,0.06,131.7,0.99
0.01,1.69,341.15,0.71,0.02,0.42,-4.12,0.23,149.44,0.35
0.22,1.71,242.64,0.72,0.09,0.23,-5.95,0.09,132.87,0.08
0.46,1.81,75.12,0.49,0.12,0.03,-6.41,0.03,171.62,0.04
0.05,1.68,190.29,0.26,0.07,0.24,-8.39,0.05,119.42,0.4
0.02,1.72,296.51,0.43,0.26,0.17,-7.67,0,138.39,0.88
0.44,1.37,146.2,0.74,0.31,0.16,-4.6,0.06,135.18,0.1
0.26,1.73,162.79,0.64,0.23,0.4,-9.46,0.08,106.07,0.23
0.31,1.73,120,0.24,0.28,-0.1,-8.76,0.03,87.6,0.59
0.32,1.56,400.96,0.6,0.12,0.17,-3.06,0.21,113.09,0.76
0.2,1.47,189.6,0.69,0.05,-0.04,-7.3,0.13,95.93,0.14
0.49,1.5,184.19,0.62,0.1,-0.18,-1.12,0.15,125.79,0.56
0.5,1.46,204.2,0.45,0.23,0.21,-6.49,0.18,80.14,0.36
0.04,1.56,261.91,0.7,0.02,0.16,-9.93,0.25,172.59,0.11
0.02,1.15,330.2,0.61,0,0.31,-8.07,0.07,141.51,0.07
1.21,1.66,160.16,0.52,0.02,0.18,-9.56,0,95.94,0.75
0.24,1.7,312.95,0.34,0.15,0.12,-10.25,0.03,116,0.12
0.33,1.53,291.66,0.4,0.21,0.15,-9.64,0.04,166.5,0.15
0.06,1.78,281.35,0.58,0.37,0.34,-7.82,0.03,108.48,0.84
0.11,1.65,120.29,0.3,0.1,0.26,-6.57,0.03,112.92,0.32
0.03,1.5,74.3,0.84,0.47,0.19,-4.88,0.06,115.91,0.95
0.33,1.28,217.62,0.59,0.13,0.19,-8.88,0.03,117.41,0.61
0.18,1.39,309.74,0.21,0.41,0.15,-6.47,0.09,105.12,0.41
0.11,1.66,184.61,0.38,0.01,0.47,-5.57,0.06,105.36,0.29
0.21,1.66,255.56,0.48,0.08,0.33,-6.13,0.06,49.09,0.04
0.11,1.58,353.31,0.75,0.01,-0.05,-6.85,0.07,112.89,0.29
0.27,1.81,372.71,0.28,0.46,0.15,-4.28,0.07,103.37,0.76
0.57,1.67,229.98,0.45,0.31,0.17,-3.26,0.34,116.79,0.87
0.15,1.77,268.47,0.37,0.25,0.45,-4.98,0.1,107.17,0.48
0.38,1.48,327.51,0.37,0.22,0.18,-6.04,0.16,169.69,0.99
0.01,1.55,179.29,0.56,0.19,-0.04,-10.34,0.21,129.76,0.37
0.52,1.71,345.79,0.63,0.26,0.17,-11.33,0.11,162.27,0.62
0.35,1.67,278.15,0.4,0.13,0.23,-4.74,0.06,153.76,0.37
0.06,1.57,123.57,0.73,0.01,0.06,-6.07,0.02,166.15,0.85
0.17,1.69,198.32,0.77,0.26,0.16,-7.24,0.02,152.62,0.6
0.29,1.7,134.08,0.46,0.07,0.15,-7.18,0.01,160.68,0.24
0.03,1.25,290.77,0.4,0.15,0.45,-7.59,0.04,151.87,0.46
0.04,1.53,185.09,0.66,0.52,0.32,-7.78,0.01,102.78,0.97
0.16,1.32,335.73,0.9,0.12,0.01,-6.01,0.03,108.92,0.51
0.02,1.42,314.19,0.22,0.36,-0.01,-13.79,0.1,100.39,0
0.25,1.38,135.83,0.22,0.05,0.14,-9.68,0.04,122.86,0.53
0.21,1.74,234.91,0.66,0.53,0.08,-7.49,0.11,179.42,0.98
0.23,1.61,181.25,0.56,1.06,0.02,-4.93,0.09,97.26,0.46
0.14,1.56,216.91,0.76,0.39,0.1,-6.37,0.02,128.14,0.98
0.75,1.43,302.15,0.55,0.05,0.22,-12.9,0.03,95.34,0.94
0.25,1.82,238.5,0.44,0.22,0.49,-1.73,0.06,141.69,0.37
0.12,1.39,94.43,0.93,0.26,0.29,-7.05,0.03,103.6,0.12
0.42,1.64,226.35,0.54,0.31,0.04,-5.64,0.1,129.01,0.1
0.01,1.2,246.82,0.64,0.07,0.43,-9.47,0.02,146.28,0.22
0,1.16,150.08,0.24,0.24,0.17,-5.65,0.05,114.64,0.11
0.12,1.75,218.52,0.28,0.38,0.29,-8.75,0.15,107.74,0.34
0.02,1.84,443.19,0.92,0.01,0.08,-6.21,0.23,134.76,0.26
0.05,1.69,212.93,0.74,0.41,0.45,-7.93,0.05,82.51,0.86
0.07,1.67,211.3,0.44,0.49,0.31,-4.39,0.06,71.87,0.69
0,1.68,277.33,0.47,0,0.46,-11.03,0.04,136.03,0.39
0.35,1.63,197.41,0.93,0.04,0.15,-4.71,0.09,113.21,0.1
0.33,1.72,122.77,0.28,0.11,0.4,-5.44,0.04,128.01,0.87
0.04,1.52,161.41,0.74,0.2,0.07,-7.63,0.06,138.74,0.52
0.39,1.33,117.91,0.54,0.12,0.33,-10,0,139.28,0.64
0.14,1.86,118.65,0.67,0.03,0.52,-12.28,0.04,124.05,0.53
0.42,1.83,338.45,0.81,0.21,0.12,-6.36,0.11,154.84,0.18
0.33,1.72,62.99,0.39,0.18,0.27,-6.88,0.07,107.24,0.2
0.01,1.78,264.43,0.42,0.07,0.26,-4.15,0.05,134.97,0.97
0.19,1.36,84.01,0.41,0.24,0.11,-9.53,0.09,155.73,0.77
0.29,1.3,336.61,0.53,0.5,0.13,-7.12,0.01,101.07,0.61
0.12,1.68,255.99,0.8,0.01,0.17,-6.77,0.01,146.84,0.31
